comments,Label,,,,,,,,,,,,,,,,,,
b'\xd8\xa8\xd9\x86\xd8\xaa /\xd9\x85\xd8\xaf\xd8\xa7\xd9\x85 / \xd9\x85\xd8\xb7\xd9\x84\xd9\x82\xd9\x87 /\xd8\xa3\xd8\xb1\xd9\x85\xd9\x84\xd9\x87 \xd8\xa8\xd8\xaa\xd8\xad\xd8\xa8\xd9\x89 \xd8\xa7\xd9\x84\xd8\xac\xd9\x86\xd8\xb3 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb1\xd9\x88\xd9\x85\xd9\x86\xd8\xb3\xd9\x8a\xd9\x87 \xd9\x86\xd9\x81\xd8\xb3\xd9\x83 \xd9\x81 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x84\xd8\xb9 \xd9\x88\xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd8\xb9\xd9\x87 \xd9\x88\xd8\xa7\xd9\x84\xd8\xad\xd9\x86\xd9\x8a\xd9\x87 \xd8\x8c \xd9\x87\xd8\xa7\xd9\x8a\xd8\xac\xd9\x87 \xd9\x88\xd9\x85\xd8\xad\xd8\xb1\xd9\x88\xd9\x85\xd9\x87 \xd9\x88\xd9\x86\xd9\x81\xd8\xb3\xd9\x83 \xd8\xaa\xd8\xb1\xd8\xaa\xd8\xa7\xd8\xad\xd9\x89 > \xd8\xaa\xd8\xb9\xd8\xa7\xd9\x84\xd9\x89 \xd8\xae\xd8\xa7\xd8\xa7\xd8\xa7\xd8\xa7\xd8\xb5 \xd8\xa8\xd8\xb3\xd8\xb1\xd9\x8a\xd9\x87 \xd8\xaa\xd8\xa7\xd9\x85\xd9\x87 \xd8\xac\xd8\xaf\xd8\xa2',0,,,,,,,,,,,,,,,,,,
"b""So, is it a childrens' inspirational muvie production site??""",0,,,,,,,,,,,,,,,,,,
b'So funny',0,,,,,,,,,,,,,,,,,,
b'Any aunty want video sex then inbox me',1,,,,,,,,,,,,,,,,,,
b'http:     //link.tl/1fpMd  Delete blank and watch',0,,,,,,,,,,,,,,,,,,
b'PTPA Hi guys\r\n\xf0\x9f\x8f\xbbPwede po ba paki like ang page na\r\nTanga Problem  \xe3\x83\x84\r\nHiring po sila ng admin pm lang ang page.\r\n.Pwede din po magsend ng confession at realtalk',0,,,,,,,,,,,,,,,,,,
b'What the hell animals doing???',0,,,,,,,,,,,,,,,,,,
b'\xd8\xad\xd8\xb3\xd8\xa8\xd9\x89 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x88\xd9\x86\xd8\xb9\xd9\x85 \xd8\xa7\xd9\x84\xd9\x88\xd9\x83\xd9\x8a\xd9\x84 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x83\xd9\x89 \xd9\x8a\xd8\xa7\xd8\xb3\xd9\x85\xd8\xa7 \xd8\x8c \xd8\xb1\xd8\xa8\xd9\x86\xd8\xa7 \xd9\x85\xd8\xb4 \xd8\xad\xd9\x8a\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83\xd9\x84\xd9\x83 \xd9\x81\xd9\x89 \xd9\x83\xd9\x84 \xd8\xa5\xd9\x84\xd9\x84\xd9\x89 \xd8\xae\xd8\xaf\xd8\xaa\xd9\x8a\xd9\x87 \xd9\x85\xd9\x86\xd9\x89 \xd8\xad\xd8\xb1\xd8\xa7\xd9\x85',0,,,,,,,,,,,,,,,,,,
b'Great I which I get lady pal for pratical',0,,,,,,,,,,,,,,,,,,
b'Uhu bt how many types of hells do satan has?\nthat z also a #hell',0,,,,,,,,,,,,,,,,,,
b'Girls inbox me for fun...',1,,,,,,,,,,,,,,,,,,
b'So friggin funny',0,,,,,,,,,,,,,,,,,,
b'HEY I LOVE 4 play with a lot of good and wild hard sex 24 hours is good',1,,,,,,,,,,,,,,,,,,
b'I like 23 to 58 old lady if you want with me video calling sex then you message me',1,,,,,,,,,,,,,,,,,,
b'Koi Bhabhi or aunty hi kya Jo Mere Saath video calling par sex karna chahiye saree pregnancy secret',1,,,,,,,,,,,,,,,,,,
b'0770 248 1775\n\n\xe2\x80\xad0781 894 0727\xe2\x80\xac \xd9\x85\xd8\xb7\xd9\x84\xd9\x82\xd9\x87  \xd8\xb9\xd9\x85\xd8\xb1\xd9\x8a 20  \xd8\xb3\xd9\x86\xd9\x87',0,,,,,,,,,,,,,,,,,,
b'Xxxxx',1,,,,,,,,,,,,,,,,,,
"b""Hi babies let's do Skype video calling. I am wild here...""",1,,,,,,,,,,,,,,,,,,
b'Thanks for this. Hahaha.',0,,,,,,,,,,,,,,,,,,
b'How do i remove THIS?',0,,,,,,,,,,,,,,,,,,
b'xxx',1,,,,,,,,,,,,,,,,,,
b'sex me',1,,,,,,,,,,,,,,,,,,
b'Could you do cats in wild sex',1,,,,,,,,,,,,,,,,,,
b'Any girl \xf0\x9f\x91\xa7 need sex and me friend request',1,,,,,,,,,,,,,,,,,,
b'\xd8\xb9\xd8\xa7\xd9\x88\xd8\xb2 \xd9\x88\xd8\xad\xd8\xaf\xd8\xa9 \xd9\x88\xd8\xa3\xd9\x86\xd8\xa7 \xd9\x87\xd9\x85\xd8\xaa\xd8\xb9\xd9\x87\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x8a \xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd8\xb5 \xd9\x88\xd8\xaa\xd9\x83\xd9\x88\xd9\x86 \xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb3\xd9\x86 \xd8\xb9\xd9\x84\xd8\xb4\xd8\xa7\xd9\x86 \xd8\xa7\xd8\xb1\xd8\xac\xd8\xb9\xd9\x87\xd8\xa7 \xd8\xb4\xd8\xa8\xd8\xa7\xd8\xa8 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd9\x87\xd8\xb9\xd9\x85\xd9\x84\xd8\xa9 \xd9\x81\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd8\xb9\xd8\xa7\xd9\x88\xd8\xb2\xd8\xa9 \xd8\xaa\xd8\xb1\xd8\xa7\xd8\xb3\xd9\x84\xd9\x86\xd9\x8a \xd8\xae\xd8\xa7\xd8\xb5',0,,,,,,,,,,,,,,,,,,
b'Could not stop laughing \xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,,,,,,,,,,,,,,,,,,
b'Love it! Keep em coming\xf0\x9f\x98\x89',0,,,,,,,,,,,,,,,,,,
b'Join our brotherhood for more information WhatsApp us+1 850-666-6938',0,,,,,,,,,,,,,,,,,,
b'cool',0,,,,,,,,,,,,,,,,,,
b'WOAh',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'Xxx',1,,,,,,,,,,,,,,,,,,
"b'Shatu call girl very hot, +8801682139315, +8801819042004'",1,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'01003908350',0,,,,,,,,,,,,,,,,,,
b'Nice',0,,,,,,,,,,,,,,,,,,
b'Nice huh',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x86\xd8\xa7 \xd8\xac\xd9\x85\xd8\xa7\xd9\x84 28\xd8\xb3\xd9\x86\xd8\xa9 \xd9\x85\xd9\x86 \xd9\x85\xd8\xb1\xd8\xa7\xd9\x83\xd8\xb4 \xd8\xad\xd9\x88\xd8\xa7\xd9\x8a \xd9\x86\xd8\xb3\xd8\xa7\xd8\xa1 \xd9\x81\xd9\x82\xd8\xb7 \xd8\xb1\xd8\xa7\xd9\x82\xd9\x85 \xd9\x87\xd9\x88\xd8\xa7 0606906390',0,,,,,,,,,,,,,,,,,,
b'Only girls write me for sex chat',1,,,,,,,,,,,,,,,,,,
b'\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x84\xd8\xa7\xd9\x85',0,,,,,,,,,,,,,,,,,,
"b'WHATSAPP LORD MORGAN ON HIS CONTACT +12534995394 IN HARD QUARTER UNITED STATE OF AMERICA ON HOW TO JOIN ILLUMINATI TEMPLE,THE HOME OF RICHES AND POWERS,WE WELCOME EVERY ONE TO THE GREAT TEMPLE OF ILLUMINATI WORLD\nOF RICHIES, FAME AND POWERS. ARE YOU A POLITICIANS,\nDOCTOR, ENGINEER, MODEL, GRADUATE, STUDENT,\nBUSINESSMAN OR WOMAN SEEKING FOR WISDOM, FAME,\nPOWER, KNOWLEDGE AND WEALTH!!!\nTHIS IS A GOLDEN OPPORTUNITY The great illuminati\norganization will make you Rich, Powerful, famous and\nwealthy.You can achieve all your dreams and heart desire by\nbeing a member of the illuminati brotherhood, Long life and\nprosperity here on earth with eternal life and jubilation..'",0,,,,,,,,,,,,,,,,,,
b'I m hot sexy boy cam for fun +92 3016509401',1,,,,,,,,,,,,,,,,,,
b'Super',0,,,,,,,,,,,,,,,,,,
b'BBC lover add me',0,,,,,,,,,,,,,,,,,,
b'Add me',0,,,,,,,,,,,,,,,,,,
b'Very nice to frog and rat ....',0,,,,,,,,,,,,,,,,,,
b'Thanks for you !',0,,,,,,,,,,,,,,,,,,
b'Remove this!',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb2 \xd9\x85\xd8\xaf\xd8\xa7\xd9\x85 \xd8\xa8\xd9\x85\xd9\x82\xd8\xa7\xd8\xa8\xd9\x84',0,,,,,,,,,,,,,,,,,,
b'mana film bokep nya',0,,,,,,,,,,,,,,,,,,
"b'The,s video'",0,,,,,,,,,,,,,,,,,,
b'\xd8\xad\xd9\x84\xd9\x88',0,,,,,,,,,,,,,,,,,,
b'xxx',1,,,,,,,,,,,,,,,,,,
b'Anymore want to make action like this frog with me \xf0\x9f\x98\x8d',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x86\xd8\xaa\xd9\x85 \xd9\x85\xd8\xac\xd9\x86\xd9\x8a\xd9\x86',0,,,,,,,,,,,,,,,,,,
b'Hiii grill',0,,,,,,,,,,,,,,,,,,
b'Oh my gushhhhh',0,,,,,,,,,,,,,,,,,,
b'Well',0,,,,,,,,,,,,,,,,,,
b'wow',0,,,,,,,,,,,,,,,,,,
b'And you \xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'01003908350',0,,,,,,,,,,,,,,,,,,
b'Nonsense',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd8\xad\xd8\xa7',0,,,,,,,,,,,,,,,,,,
b'Nice',0,,,,,,,,,,,,,,,,,,
b'Hi',0,,,,,,,,,,,,,,,,,,
b'xxx',1,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'00966590869148 watsup',0,,,,,,,,,,,,,,,,,,
b'Ambee Zamri kau layan lagu xmas ni hahaha',0,,,,,,,,,,,,,,,,,,
b'Eeh....',0,,,,,,,,,,,,,,,,,,
b'any sexy girl sex with me',1,,,,,,,,,,,,,,,,,,
b';\xd8\xa7\xd9\x84\xd9\x82\xd9\x88\xd8\xb3\xd9\x8a\xd9\x86\xe2\x98\xbb \xd8\xa3\xd8\xb5\xdb\xa7\xd9\x80\xd8\xb9\xd9\x80\xd8\xa8\xdb\xa7',0,,,,,,,,,,,,,,,,,,
b'ahhhhmpp . arRrrr',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb2\xd8\xa8\xd9\x89 \xd9\x85\xd9\x88\xd9\x84\xd8\xb9 \xd8\xae\xd8\xa7\xd8\xb5',0,,,,,,,,,,,,,,,,,,
b'ilove sex',1,,,,,,,,,,,,,,,,,,
b'\xd8\xb2\xd8\xa8\xd9\x89 \xd9\x85\xd9\x88\xd9\x84\xd8\xb9 \xd8\xae\xd8\xa7\xd8\xb5',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'D u wanta',0,,,,,,,,,,,,,,,,,,
b'lmao  !!! terrible \xf0\x9f\xa4\xa3\xe2\x9d\xa4\xf0\x9f\x91\xa3',0,,,,,,,,,,,,,,,,,,
b'vidio nya mna nh',0,,,,,,,,,,,,,,,,,,
b'Liskhona tsift anvt',0,,,,,,,,,,,,,,,,,,
b'give me fuck',1,,,,,,,,,,,,,,,,,,
b'Hellow god evning',0,,,,,,,,,,,,,,,,,,
b'\xd8\xaa\xd9\x89\xd9\x89\xd9\x89\xd9\x89\xd8\xa9\xd8\xa9',0,,,,,,,,,,,,,,,,,,
b'\xd9\x81\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb3\xd8\xae\xd9\x86\xd8\xa9',0,,,,,,,,,,,,,,,,,,
b'Je merde Campanile !',0,,,,,,,,,,,,,,,,,,
b'Ahh haha',0,,,,,,,,,,,,,,,,,,
b'Saludos desde Marrakech Marruecos',0,,,,,,,,,,,,,,,,,,
b'\xd9\x85\xd9\x85\xd9\x83\xd9\x86 \xd9\x86\xd8\xaa\xd8\xb9\xd8\xb1\xd9\x81 \xd9\x88\xd8\xa7\xd8\xaa\xd8\xb3 \xd8\xa3\xd8\xa8 \xd8\xa7\xd9\x88 \xd8\xa7\xd9\x8a\xd9\x85\xd9\x88    00965   99026769',0,,,,,,,,,,,,,,,,,,
b'I want to open on sex',1,,,,,,,,,,,,,,,,,,
b'So funny',0,,,,,,,,,,,,,,,,,,
"b""\xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd8\xb3\xd9\x86\xd9\x87 \xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf 2018' \xf0\x9f\x8e\x82\xf0\x9f\x8e\x86\xf0\x9f\x8e\x87""",0,,,,,,,,,,,,,,,,,,
b'Hi ferand',0,,,,,,,,,,,,,,,,,,
b'Add me',0,,,,,,,,,,,,,,,,,,
b'Any local wemen need company?',1,,,,,,,,,,,,,,,,,,
b'Happy chrissmass',0,,,,,,,,,,,,,,,,,,
b'lo',0,,,,,,,,,,,,,,,,,,
b'\xd9\x85\xd9\x85\xd9\x83\xd9\x86 \xd8\xa5\xd9\x86\xd8\xb3\xd8\xa7\xd9\x86\xd8\xa9 \xd8\xac\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xae\xd8\xa7\xd8\xb5 \xd8\xa8\xd9\x83\xd9\x84 \xd8\xb3\xd8\xb1\xd9\x8a\xd8\xa9 \xd9\x88\xd8\xaa\xd9\x82\xd8\xaf\xd9\x8a\xd8\xb1',0,,,,,,,,,,,,,,,,,,
b'Hapi nw year..',0,,,,,,,,,,,,,,,,,,
b';a+!!+',0,,,,,,,,,,,,,,,,,,
b'Selam',0,,,,,,,,,,,,,,,,,,
b'tampilkan poto',0,,,,,,,,,,,,,,,,,,
b'\xd8\xae\xd9\x87 \xd8\xae\xd9\x88\xd8\xa8 \xd8\xaf\xd8\xb1\xd8\xaa\xd9\x87 \xd8\xba\xd9\x88\xd8\xa7\xd8\xb1\xd9\x85',0,,,,,,,,,,,,,,,,,,
b'\xd9\x85\xd9\x85\xd9\x83\xd9\x86 \xd9\x85\xd8\xb7\xd9\x84\xd9\x82\xd9\x87 \xd9\x81\xd9\x8a \xd9\x83\xd9\x86\xd8\xaf\xd8\xa7',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7',0,,,,,,,,,,,,,,,,,,
b'MERRYCHRISTMAS TO YOU COULD YOU SEND ME SOME WILD SEX IMAGES ?',1,,,,,,,,,,,,,,,,,,
b'Lei de Guzman ito pre new version oh..',0,,,,,,,,,,,,,,,,,,
b'wow',0,,,,,,,,,,,,,,,,,,
b'wow',0,,,,,,,,,,,,,,,,,,
b'\xd7\x90\xd7\xa0\xd7\x99 \xd7\xa8\xd7\xa6\xd7\x99\xd7\xa0\xd7\x99 \xd7\x9b\xd7\x9c\xd7\x94 \xd7\x9e\xd7\xa6\xd7\xa8\xd7\x99\xd7\xaa \xd7\x90\xd7\xa4\xd7\xa9\xd7\xa8\xd7\x99 \xd7\xa8\xd7\xa6\xd7\x99\xd7\xa0\xd7\x99 \xd7\x9e\xd7\x99\xd7\xa9\xd7\xa8\xd7\x90\xd7\x9c',0,,,,,,,,,,,,,,,,,,
b'Hahaha',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'Like',0,,,,,,,,,,,,,,,,,,
b'all',0,,,,,,,,,,,,,,,,,,
b'Hmm',0,,,,,,,,,,,,,,,,,,
b'Cool',0,,,,,,,,,,,,,,,,,,
b'Haha',0,,,,,,,,,,,,,,,,,,
b'Hi',0,,,,,,,,,,,,,,,,,,
b'Xxx',1,,,,,,,,,,,,,,,,,,
b'll b',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb3\xda\xa9',0,,,,,,,,,,,,,,,,,,
b'Sex',1,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'Call wife 081350274942',1,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'buy my salt lamps it will heal .',0,,,,,,,,,,,,,,,,,,
b'the christmast are not good to make like that',0,,,,,,,,,,,,,,,,,,
b'Nice baby....I like it.',0,,,,,,,,,,,,,,,,,,
b'My Skype ID - riyaz.pathan1981@mail.com',0,,,,,,,,,,,,,,,,,,
b'Interesting anyway\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d',0,,,,,,,,,,,,,,,,,,
b'Nice ones',0,,,,,,,,,,,,,,,,,,
b'Lion Mate',0,,,,,,,,,,,,,,,,,,
b'sexy dikhaye',1,,,,,,,,,,,,,,,,,,
b'Every nice',0,,,,,,,,,,,,,,,,,,
b'Xnxx com',1,,,,,,,,,,,,,,,,,,
b'+447463967554',0,,,,,,,,,,,,,,,,,,
b'05531880659',0,,,,,,,,,,,,,,,,,,
b'Hello',0,,,,,,,,,,,,,,,,,,
b'Funi  video hihi',0,,,,,,,,,,,,,,,,,,
b'xxx sxe vidoes',1,,,,,,,,,,,,,,,,,,
b'...????',0,,,,,,,,,,,,,,,,,,
b'Selam',0,,,,,,,,,,,,,,,,,,
b'sexvideo',1,,,,,,,,,,,,,,,,,,
b'sexvideo',1,,,,,,,,,,,,,,,,,,
b'Who want swap?',0,,,,,,,,,,,,,,,,,,
b'BIG ASS',1,,,,,,,,,,,,,,,,,,
b'Ihik ihik lucu ya',0,,,,,,,,,,,,,,,,,,
b'\xd8\xaa\xd8\xb2\xd8\xaf\xd9\x84\xd8\xb7\xd9\x86\xd9\x84',0,,,,,,,,,,,,,,,,,,
b'\xe1\x80\x96\xe1\x80\xb0\xe1\x80\xb8\xe1\x80\x80\xe1\x80\xac\xe1\x80\xb8',0,,,,,,,,,,,,,,,,,,
b'ishag',0,,,,,,,,,,,,,,,,,,
b'Wwwsovxxx',1,,,,,,,,,,,,,,,,,,
b'03163812599 sexy saiqa',0,,,,,,,,,,,,,,,,,,
b'Accept me this group',0,,,,,,,,,,,,,,,,,,
b'That boring',0,,,,,,,,,,,,,,,,,,
"b'Ximena, est\xc3\xa1 bonito..!! \xf0\x9f\x99\x8a'",0,,,,,,,,,,,,,,,,,,
b'Any 14 yers want sex with me talk private',1,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x87',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb3\xd9\x83\xd8\xb3',0,,,,,,,,,,,,,,,,,,
b'\xd8\xae\xd8\xae\xd9\x87\xd9\x87',0,,,,,,,,,,,,,,,,,,
b'yes',0,,,,,,,,,,,,,,,,,,
b'yes',0,,,,,,,,,,,,,,,,,,
b'Wow',0,,,,,,,,,,,,,,,,,,
b'C',0,,,,,,,,,,,,,,,,,,
b'good',0,,,,,,,,,,,,,,,,,,
b'good',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'i want watch more video',0,,,,,,,,,,,,,,,,,,
b'I have videos sex come girls',1,,,,,,,,,,,,,,,,,,
b'\xd9\x81\xd9\x8a\xd8\xaf\xd9\x8a\xd9\x88',0,,,,,,,,,,,,,,,,,,
b'Xxx vedeo',1,,,,,,,,,,,,,,,,,,
b'26120018',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb3\xd9\x83\xd8\xb3\xd8\xa7\xd9\x88\xd9\x8a\xd8\xa7\xd8\xaa',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x84\xd9\x8a \xd8\xaa\xd8\xad\xd8\xa8 \xd8\xaa\xd8\xb1\xd8\xaa\xd8\xa7\xd8\xad \xd8\xaa\xd8\xac\xd9\x8a \xd8\xa7\xd8\xb1\xd9\x8a\xd8\xad\xd9\x87\xd8\xa7',0,,,,,,,,,,,,,,,,,,
b'No guys',0,,,,,,,,,,,,,,,,,,
b'Soc pm girl',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb3\xd9\x83\xd8\xb3 \xd8\xad\xd9\x8a\xd9\x88\xd8\xa7\xd9\x86\xd8\xa7\xd8\xaa',0,,,,,,,,,,,,,,,,,,
b'Nike mnaj sex video.Com',1,,,,,,,,,,,,,,,,,,
b'This will be fune',0,,,,,,,,,,,,,,,,,,
b'I want a girl sex',1,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x84\xd8\xb5\xd9\x88\xd8\xb1\xd8\xa9',0,,,,,,,,,,,,,,,,,,
b'repent',0,,,,,,,,,,,,,,,,,,
b'ola ola sex sex',1,,,,,,,,,,,,,,,,,,
b'I like pure sex',1,,,,,,,,,,,,,,,,,,
"b""It's very incredible.""",0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'So sad for rat \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'Like',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'\xd9\x81 \xd8\xb1\xd8\xaf \xd9\x81\xd8\xaf\xd9\x8a\xd9\x88 \xd8\xa7\xd8\xb3\xd9\x83\xd8\xb3\xd9\x8a',0,,,,,,,,,,,,,,,,,,
b'jamkar chudai',1,,,,,,,,,,,,,,,,,,
b'\xd9\x82\xd9\x88\xd9\x82\xd9\x84',0,,,,,,,,,,,,,,,,,,
b'7622985428 call or whtsapp for sex girl name priya',1,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'\xd9\x87\xd8\xa7\xd9\x8a',0,,,,,,,,,,,,,,,,,,
b'\xd8\xb1\xd9\x82\xd9\x85 \xd8\xb4\xd8\xb1\xd9\x85\xd9\x88\xd8\xb7\xd9\x87 \xd9\x86\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x84\xd9\x89 \xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb2 \xd9\x8a\xd8\xaf\xd9\x84\xd8\xb9 \xd9\xa0\xd9\xa1\xd9\xa2\xd9\xa7\xd9\xa3\xd9\xa4\xd9\xa3\xd9\xa6\xd9\xa4\xd9\xa5\xd9\xa1',0,,,,,,,,,,,,,,,,,,
b'',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa5\xd9\x84\xd9\x84\xd9\x8a \xd8\xa8\xd8\xaf\xd9\x87\xd8\xa7 \xd9\x85\xd8\xaa\xd8\xb9\xd9\x87 \xd8\xac\xd9\x86\xd8\xb3\xd9\x8a\xd9\x87 \xd8\xae\xd8\xa7\xd8\xb5 \xd8\xb5\xd9\x88\xd8\xaa \xd9\x88\xd9\x83\xd8\xa7\xd9\x85',0,,,,,,,,,,,,,,,,,,
b'8654843253',0,,,,,,,,,,,,,,,,,,
b'01158457285 \xd8\xaf\xd8\xa7 \xd8\xb1\xd9\x82\xd9\x85 \xd8\xb4\xd8\xb1\xd9\x85\xd9\x88\xd8\xb7\xd9\x87',0,,,,,,,,,,,,,,,,,,
b'omo alaja babatunde',0,,,,,,,,,,,,,,,,,,
b'\xd8\xa7\xd9\x8a \xd8\xa8\xd9\x86\xd8\xaa \xd8\xaa\xd8\xad\xd8\xa8 \xd8\xaa\xd8\xaa\xd8\xaf\xd9\x84\xd8\xb9 \xd8\xaa\xd9\x8a\xd8\xac\xd9\x8a \xd8\xae\xd8\xa7\xd8\xb5',0,,,,,,,,,,,,,,,,,,
b'i will report you',0,,,,,,,,,,,,,,,,,,
